subject_id,session_id,segment_id,t_start_seg_s,t_end_seg_s,bpm_target,freq_target_hz,n_points_ridge,freq_mean_hz,freq_median_hz,freq_mae_hz,freq_rmse_hz,freq_std_hz,coverage_within_tol,snr_main_over_band,snr_main_over_second,snr_median_db,snr_std_db,ridge_power_mean,ridge_power_db,hrv_n_rr,hrv_mean_rr_ms,hrv_mean_hr_bpm,hrv_rmssd_ms,hrv_sdnn_ms,hrv_SD1_ms,hrv_SD2_ms,hrv_sd1_pct,hrv_sd2_pct,hrv_SI,hrv_PNS_index,hrv_SNS_index
Subject50,VectorLength_R,0,20.940000000000015,80.94000000000001,6,0.1,600,0.10186152918055626,0.09962311557788954,0.0035678280013931147,0.006269755968459668,0.005987031736509603,0.9016666666666666,0.056105459728420896,1.0192263515535296,4.123242680330183,1.3799533858702584,0.039173561993623554,-14.070069368954252,62,964.0,62.24066390041494,110.17125268432231,138.334827827861,78.54866578227072,179.17353678529935,8.148201844633892,18.58646647150408,2.497988109910024,1.028745676694959,-1.262613930078852
Subject50,VectorLength_R,1,80.94000000000001,140.94,8,0.13333333333333333,600,0.13309842778247674,0.13241206030150746,0.0023366090629163756,0.0030633554176908544,0.0030543355737824,1.0,0.054028858643674835,1.0116622328285536,5.746281766511276,1.4486624827881298,0.03831066965489995,-14.166802566486025,63,944.5714285714288,63.52087114337567,64.6119932939645,84.1039514789755,46.05776613404705,109.66144029465035,4.8760490462542245,11.609650363922448,3.175284958594488,-0.13592867287802882,-1.2620979051456753
Subject50,VectorLength_R,2,140.94000000000003,200.94000000000003,10,0.16666666666666666,600,0.12675180108463113,0.12150405492810595,0.04565575263556503,0.05123368291618003,0.03211999020429042,0.06666666666666667,0.026656943049842962,1.0131637479459978,1.4156435564354815,1.5345829558311703,0.008965413749969604,-20.47429663088234,65,926.6461538461538,64.74963474565016,53.55371135598388,67.39538902282885,38.14716698794773,87.34455091115021,4.1166918817515645,9.425879614199701,3.657183890845781,-0.44681412081718674,-1.1893508685773713
Subject50,VectorLength_R,3,200.94000000000003,260.94000000000005,12,0.2,600,0.20111117592915073,0.1959771630429375,0.0072185759656367456,0.010235011464337909,0.010174514618870251,0.8266666666666667,0.026481219480624027,1.0062069236233704,2.9032942826282215,1.294394302139385,0.007143924705309521,-21.46063131360078,68,891.1554947560421,67.32831739586061,37.403372568626246,40.24602753011398,26.647246976950314,50.2932370449427,2.9901905036499965,5.643598377711928,4.452319907803118,-0.922128715562101,-1.0549228048883061
Subject50,VectorLength_R,4,260.94,320.94,14,0.23333333333333334,600,0.2143913838996965,0.22757575003731545,0.02554400288018752,0.03805313246739188,0.033003688312587424,0.4633333333333333,0.023313393713237675,1.0055613429514658,1.0588802194293778,1.3802602156828951,0.006823257163940618,-21.660082600831387,66,910.844138597126,65.87296054011114,40.38891023894354,45.78108592347304,28.779889765678824,57.99597918597649,3.159694238138849,6.36727808067156,4.1764632789349,-0.8063807676474576,-1.1333290337144442
Subject50,VectorLength_R,5,320.94,380.94,16,0.26666666666666666,600,0.13004267127717797,0.11030387083934526,0.13662399538948872,0.15237907212224605,0.06747788900558195,0.125,0.026610820120132626,1.0210284019570088,-3.2922787686497346,2.9517903493115987,0.014767605346906952,-18.306899223255073,62,907.9857177831841,66.08033455249488,39.33548525033849,61.62880627722029,28.033952794478644,82.52464490700483,3.0874882991466626,9.088760240467868,3.779921739616119,-0.8385491227249581,-1.1320294418593095
Subject50,VectorLength_R,6,380.94,440.94,18,0.3,600,0.12123874944027074,0.12185034081297577,0.17876125055972925,0.18103457865063372,0.028599544848374493,0.0,0.028235652044453788,1.019307309404127,-3.184819012483173,2.1413214197969386,0.03245293907565775,-14.887459655208271,61,976.4636378294334,61.44622049969327,50.713839746800026,58.88008228814515,36.12867921699884,75.02297460480145,3.699951315883994,7.683130400182531,3.7555961827694353,-0.41310821103179207,-1.3217903884334845
