subject_id,session_id,segment_id,t_start_seg_s,t_end_seg_s,bpm_target,freq_target_hz,n_points_ridge,freq_mean_hz,freq_median_hz,freq_mae_hz,freq_rmse_hz,freq_std_hz,coverage_within_tol,snr_main_over_band,snr_main_over_second,snr_median_db,snr_std_db,ridge_power_mean,ridge_power_db,hrv_n_rr,hrv_mean_rr_ms,hrv_mean_hr_bpm,hrv_rmssd_ms,hrv_sdnn_ms,hrv_SD1_ms,hrv_SD2_ms,hrv_sd1_pct,hrv_sd2_pct,hrv_SI,hrv_PNS_index,hrv_SNS_index
Subject33,HeartMovement,0,20.548000000000016,80.54800000000002,6,0.1,600,0.10094967908851186,0.09908204388278025,0.0035040599034777808,0.006514480607726332,0.0064448869049259306,0.8983333333333333,0.09752431550573654,1.02202393228765,9.872096299044582,2.2007610071996915,0.038701029502051974,-14.12277481969521,52,1148.8461538461538,52.22631402745229,121.388050579657,148.08018291841873,86.68377508360533,190.63421593082293,7.545290097669027,16.59353737596718,2.383629779530986,1.6686800246839093,-1.659772627474933
Subject33,HeartMovement,1,80.54800000000002,140.548,8,0.13333333333333333,600,0.1330861274192746,0.13127580974177827,0.003726789475429976,0.004741480825113787,0.004735032170004351,0.9416666666666667,0.0806208897814165,1.011084379111843,11.999773401058562,1.4898851797823913,0.03465547970838625,-14.602280851678485,56,1070.6428571428573,56.04109680432317,102.07163260092572,126.95545798305957,72.78683419632513,164.12633363069278,6.798423368794128,15.329699585227157,2.2995532679009862,1.0407456304089475,-1.5747112377562376
Subject33,HeartMovement,2,140.548,200.548,10,0.16666666666666666,600,0.16407705482859836,0.16301507537688428,0.0069313480217369,0.008919364079008648,0.00853516057857416,0.805,0.052883915215830045,1.0078054077536345,7.556356640931321,1.561933074804176,0.01114380025406266,-19.52966680943526,58,1036.4137931034484,57.89193505456481,79.68534611812025,90.08593061145456,56.83718998519707,114.0196633166851,5.484024852178317,11.001364906121466,2.979304443757032,0.42339472681627893,-1.495909981863413
Subject33,HeartMovement,3,200.548,260.548,12,0.2,600,0.20068910393551923,0.19846609284043992,0.004139877605850985,0.006555796692900741,0.006519478970339593,0.8816666666666667,0.0338753807002266,1.0066712747704774,3.909495108940198,0.9201050017509135,0.004449867902204297,-23.516528811001823,55,1081.2363636363636,55.492029326696716,75.30481269358039,64.95524488741482,53.74643472160017,74.49623098845224,4.970831219627378,6.88991172456594,3.5072566131024723,0.40854879748128453,-1.5792804374915654
Subject33,HeartMovement,4,260.548,320.548,14,0.23333333333333334,600,0.19913850067167518,0.23094121598089462,0.047096836630899225,0.0721440418495975,0.06352539802030108,0.475,0.023004238833538103,1.0143538678030355,1.9039283078764417,1.9875124696396727,0.0014110883310424274,-28.504457992025124,58,1039.9999999999998,57.6923076923077,74.3627901668811,67.64198841319816,53.04832997638332,79.60371775048714,5.1008009592676276,7.654203629854534,3.4700150863005037,0.3003109245729449,-1.4951604818762252
Subject33,HeartMovement,5,320.548,380.548,16,0.26666666666666666,600,0.2547591559281557,0.25229190506990407,0.06943058734265384,0.08601683209224027,0.08518865294859933,0.175,0.02019795009741445,1.0053694836357063,-1.2736171499948434,1.762886913675689,0.0014364438309662894,-28.42711351185443,59,1023.118644067797,58.644225034788924,60.029877618540326,48.61711233632804,42.8168767716577,53.79556010831154,4.184937594473201,5.25799822144056,3.9572993486756354,-0.08624114628822606,-1.4354648691401952
Subject33,HeartMovement,6,380.548,440.548,18,0.3,600,0.125104814916165,0.1237765560475645,0.17489518508383498,0.1766719500526552,0.024993042429824478,0.0,0.022801423861590932,1.0121322044057373,-1.7066037818937922,1.0233741586296896,0.0018142236710172728,-27.413091706747426,57,1045.4228569234917,57.39304397511469,55.47231011535162,44.27797841647286,39.57297313353785,48.52894541066769,3.785355645465284,4.642039830033985,4.1023267313905025,-0.1512749049800283,-1.4666876382636713
