subject_id,session_id,segment_id,t_start_seg_s,t_end_seg_s,bpm_target,freq_target_hz,n_points_ridge,freq_mean_hz,freq_median_hz,freq_mae_hz,freq_rmse_hz,freq_std_hz,coverage_within_tol,snr_main_over_band,snr_main_over_second,snr_median_db,snr_std_db,ridge_power_mean,ridge_power_db,hrv_n_rr,hrv_mean_rr_ms,hrv_mean_hr_bpm,hrv_rmssd_ms,hrv_sdnn_ms,hrv_SD1_ms,hrv_SD2_ms,hrv_sd1_pct,hrv_sd2_pct,hrv_SI,hrv_PNS_index,hrv_SNS_index
Subject37,VectorLength_R,0,117.20400000000011,177.20400000000012,6,0.1,600,0.15145356361012985,0.15889210906015233,0.05145356361012985,0.053358538409872855,0.014130265852283119,0.0,0.056607130570000684,1.0091621550491876,1.2978055665238097,2.4122822036218516,0.2386119851403047,-6.223077461224692,46,1221.1635819369915,49.13346654575867,899.4009816301503,612.1416388734842,643.1579837687445,579.4674969314101,52.667635465232024,47.45207812472326,2.525648379011588,20.622639844926614,-1.0534524269789294
Subject37,VectorLength_R,1,177.20400000000012,237.20400000000012,8,0.13333333333333333,600,0.12165927036170954,0.12205594805711727,0.014801103012311278,0.017848413922059443,0.013501190068572753,0.2866666666666667,0.029066512381151467,1.0176737289110391,3.0037524207292576,1.809756547636398,0.7890469455982586,-1.0289715698299917,50,1132.249615633453,52.991848415362156,1358.0512722859512,971.5565938520562,969.8773358117445,973.2329544325609,85.6593212680521,85.95568865687554,1.9533371704855065,31.717004794475,-0.16458910980977626
Subject37,VectorLength_R,2,237.20400000000012,297.2040000000001,10,0.16666666666666666,600,0.08773999079556198,0.08754639534305192,0.07892667587110468,0.07893696791287923,0.0012746525865926833,0.0,0.035504964087070524,1.0286788512796539,0.003958067765524969,1.2053502822705076,1.6017779190332735,2.0460230249492937,52,1148.077745783625,52.26126908247556,1175.0379448442807,926.751961435857,839.1446224782087,1006.7644702790819,73.09127152407673,87.69131480655177,1.8238875572793183,27.266280593527966,-0.1719472197808889
Subject37,VectorLength_R,3,297.2040000000001,357.2040000000001,12,0.2,600,0.12378586248072045,0.09106336136126172,0.09321886826873642,0.09777283753393068,0.061244861022201245,0.021666666666666667,0.03900261630635481,1.0321043225854363,-2.249586276945346,1.3835676661472727,0.10039959161236081,-9.982680537290932,40,1636.9116643171064,36.654390892272765,1132.0504115405583,793.0902535449505,809.2367003463033,776.6081787804035,49.43679723144401,47.4434995919216,2.1662722593995,26.608817195987445,-1.5295082694260669
Subject37,VectorLength_R,4,357.2040000000001,417.2040000000001,14,0.23333333333333334,600,0.24188543708642224,0.25095004726603315,0.029553276282402136,0.041706335349178565,0.040820092229863277,0.275,0.02009927202517225,1.035812377672398,-0.70873403957372,1.8026240934711155,0.010982530951953617,-19.592975640537176,56,1048.4521919879064,57.22721594604867,306.5999910852733,227.22021672297217,218.44523174013452,235.66869648994074,20.835020748628875,22.4777723095894,2.5171199970045017,6.004394253489051,-1.3400667509734185
