subject_id,session_id,segment_id,t_start_seg_s,t_end_seg_s,bpm_target,freq_target_hz,n_points_ridge,freq_mean_hz,freq_median_hz,freq_mae_hz,freq_rmse_hz,freq_std_hz,coverage_within_tol,snr_main_over_band,snr_main_over_second,snr_median_db,snr_std_db,ridge_power_mean,ridge_power_db,hrv_n_rr,hrv_mean_rr_ms,hrv_mean_hr_bpm,hrv_rmssd_ms,hrv_sdnn_ms,hrv_SD1_ms,hrv_SD2_ms,hrv_sd1_pct,hrv_sd2_pct,hrv_SI,hrv_PNS_index,hrv_SNS_index
Subject48,VectorLength_R,0,21.520000000000017,81.52000000000001,6,0.1,600,0.10809828225284847,0.10572640429872127,0.008098282252848437,0.010172805789838996,0.00615660638590627,0.8166666666666667,0.06604138872981513,1.0156072311104607,6.970565613519712,1.924837140385272,0.4652186417690105,-3.323428909864985,61,973.9981340797016,61.60176072276771,38.51426932095202,52.179325936615996,27.443604702967438,68.4997275272426,2.8176239504707046,7.032839707846639,3.9339322100093135,-0.7190995854527061,-1.3013339473984877
Subject48,VectorLength_R,1,81.52000000000001,141.52,8,0.13333333333333333,600,0.1350641773222548,0.13241206030150746,0.00482856720345404,0.007269283259424208,0.007060216582496555,0.8483333333333334,0.08305805882569357,1.010439678288395,13.442575811222799,1.279687651533685,0.7171467356162361,-1.4439197411061933,63,961.015873015873,62.43393234672305,42.32592433683704,53.313283481665636,30.1682221678342,69.09768999340776,3.1392012364124517,7.190067503938769,4.0318861330228595,-0.6525263668212664,-1.2537752884067823
Subject48,VectorLength_R,2,141.52,201.52,10,0.16666666666666666,600,0.168462909846261,0.16380504005174376,0.007424603905114157,0.010348934733843955,0.010191857562050339,0.7816666666666666,0.06682175864443889,1.0073778658052883,12.00640690323544,1.054450755699459,0.4772969335906143,-3.2121135576264566,66,903.0910388683413,66.4384845133506,35.825216762827935,45.232031081780995,25.519751046083016,58.65676071956539,2.8258226410995824,6.495110481116928,4.215866256525302,-0.9361543419708571,-1.1050703516648313
Subject48,VectorLength_R,3,201.52,261.52,12,0.2,600,0.20107009055176878,0.19668055624657957,0.006829149045557813,0.009887162732922873,0.00982908404269259,0.8366666666666667,0.056115375037707624,1.0057686423620582,10.374355637976414,1.135127390232403,0.2953637259561588,-5.29642842077437,70,862.2857142857141,69.58250497017895,27.342168950155287,25.847458236905883,19.4752996774851,30.933717802574858,2.2585668943405524,3.5874092879062967,5.021029400915124,-1.2342535395502772,-0.9306913944435968
Subject48,VectorLength_R,4,261.52000000000004,321.52000000000004,14,0.23333333333333334,600,0.2341640193541967,0.2308113587740681,0.007480893051616781,0.010394894165973856,0.010361649745891795,0.8216666666666667,0.04898671645389469,1.0043358033290026,10.037861631008704,2.346455163823512,0.16868656279032693,-7.729195109971379,71,837.4064045288679,71.64979832433514,29.022169410803127,27.960960451525906,20.66958576897113,33.71051531618492,2.4682860863238822,4.025586039690101,4.773517169300442,-1.2452169112627614,-0.8932963934234195
Subject48,VectorLength_R,5,321.52000000000004,381.52000000000004,16,0.26666666666666666,600,0.26611628687994454,0.2613819095477391,0.008415769441265526,0.010720851595032265,0.010706714762852029,0.835,0.03603066061389371,1.004599198369972,6.126903415857182,1.2232117035097365,0.11939030283546595,-9.230309462019534,70,861.1428571428568,69.67485069674854,35.578857098894076,32.3684789031064,25.338290895542322,38.12358676062059,2.9424027250961564,4.427092025951298,4.758791394489847,-1.0309611799816893,-0.9526599215611568
Subject48,VectorLength_R,6,381.52000000000004,441.52000000000004,18,0.3,600,0.24399388526792384,0.29382456838648696,0.05600611473207619,0.09332046790971299,0.07464599683509687,0.605,0.029325681084101825,1.0084421324577886,4.477672856517582,2.720451246010743,0.0770025380040911,-11.134949602373759,70,863.3714285714291,69.49500297835722,31.69784887319918,40.62489114493891,22.576119228516053,52.83069563857833,2.6148791217091185,6.119115584586141,4.210530498635915,-1.1231708797132052,-1.0124311379579705
