subject_id,session_id,segment_id,t_start_seg_s,t_end_seg_s,bpm_target,freq_target_hz,n_points_ridge,freq_mean_hz,freq_median_hz,freq_mae_hz,freq_rmse_hz,freq_std_hz,coverage_within_tol,snr_main_over_band,snr_main_over_second,snr_median_db,snr_std_db,ridge_power_mean,ridge_power_db,hrv_n_rr,hrv_mean_rr_ms,hrv_mean_hr_bpm,hrv_rmssd_ms,hrv_sdnn_ms,hrv_SD1_ms,hrv_SD2_ms,hrv_sd1_pct,hrv_sd2_pct,hrv_SI,hrv_PNS_index,hrv_SNS_index
Subject37,HeartMovement,0,21.504000000000016,81.50400000000002,6,0.1,600,0.10525448156624709,0.1024258669585551,0.005396710035325116,0.008538712556753536,0.006730530112615948,0.8233333333333334,0.07155723835586983,1.0185856918230864,6.903007559593992,0.6992100551134148,0.036008565561479466,-14.435941788427641,41,1051.238256301453,57.075548421436444,284.1487035838819,223.27783027361585,203.48032543986395,241.45752450953825,19.356251945754334,22.96886771977388,2.357973149869846,5.462375714059082,-1.3607335783121692
Subject37,HeartMovement,1,81.50400000000002,141.50400000000002,8,0.13333333333333333,600,0.12953979924374345,0.13022613065326635,0.0037935340895898745,0.004115005700167675,0.0015944814277789436,1.0,0.06898129346620802,1.0124432691414345,8.21000735298492,0.9528524020504735,0.04772959282038033,-13.212122705610964,46,1191.2003504215218,50.36936060232707,618.3009041937217,463.90591941095937,441.84788062214585,484.9617041775289,37.092658717384715,40.7120182600617,2.5289882250914246,13.790220606932245,-1.1614784255169337
Subject37,HeartMovement,2,141.50400000000002,201.50400000000002,10,0.16666666666666666,600,0.14052568286979453,0.14192410070152744,0.026140983796872148,0.032624358486384654,0.01951916321925216,0.35833333333333334,0.02882784908115515,1.0127372354455826,2.027679505217097,1.931122720736476,0.13162784050338075,-8.806522437109761,45,1275.3973599411806,47.044161987889886,1412.682464856858,974.603251472568,1010.4430739325061,937.394148639531,79.22574608270368,73.49820362516371,1.9144162818340167,33.034684888334034,-0.6461651395388074
Subject37,HeartMovement,3,201.50400000000002,261.504,12,0.2,600,0.15540645305736606,0.12319219861684663,0.08070096024677847,0.08627431692363328,0.07385576031505342,0.018333333333333333,0.024701370359860024,1.0256950359680579,-0.3233882436197401,1.322344274205055,0.1761907212625488,-7.54016966583143,51,1116.1789088906103,53.754823283334616,1164.6691342646177,889.2772681425882,831.906522512183,943.1647030460674,74.53164684315972,84.49941989886686,1.9363665307265587,27.012988787075965,-0.17434658212626708
Subject37,HeartMovement,4,261.504,321.504,14,0.23333333333333334,600,0.13224865664958455,0.080620677645654,0.10108467668374876,0.11962153243060436,0.06396248244704161,0.013333333333333334,0.027830450221750524,1.0287050837036138,0.4189727955992515,2.246380971166021,0.021005512368218293,-16.776667206287115,47,1272.0860166116709,47.166621766518624,1227.3020850188832,873.7411622520394,877.2942536639548,870.1735629834395,68.96501040084667,68.4052455274396,1.874676138666095,28.565737828473786,-0.7618833507285944
Subject37,HeartMovement,5,321.504,381.504,16,0.26666666666666666,600,0.24923124284790296,0.26151176675456533,0.023589569685611704,0.0367212417317604,0.03231803816110236,0.5816666666666667,0.02790350745929123,1.0040246171135288,3.849348645031598,2.337412911637079,0.01801198486356033,-17.44438426645852,47,1394.733331333707,43.01897621004389,817.5884373982498,661.087306795569,582.9299451779991,730.9346984698514,41.79508240622422,52.406770674283564,2.2390512495982695,18.82787542535459,-1.1949306808591909
Subject37,HeartMovement,6,381.504,441.504,18,0.3,600,0.1574324779839793,0.12185034081297588,0.1426392080037149,0.15784701833575207,0.06775088828715622,0.105,0.023702196032587487,1.0084315882826556,-1.472118319222817,1.5583699998525524,0.026529899338622733,-15.762643978250335,54,1064.7652361356065,56.35044981160383,370.2010544856706,253.03046202847818,264.27037651970176,241.26748127923355,24.819590981278502,22.65921849166253,2.5514517425902357,7.586821434914423,-1.3595381938112212
