subject_id,session_id,segment_id,t_start_seg_s,t_end_seg_s,bpm_target,freq_target_hz,n_points_ridge,freq_mean_hz,freq_median_hz,freq_mae_hz,freq_rmse_hz,freq_std_hz,coverage_within_tol,snr_main_over_band,snr_main_over_second,snr_median_db,snr_std_db,ridge_power_mean,ridge_power_db,hrv_n_rr,hrv_mean_rr_ms,hrv_mean_hr_bpm,hrv_rmssd_ms,hrv_sdnn_ms,hrv_SD1_ms,hrv_SD2_ms,hrv_sd1_pct,hrv_sd2_pct,hrv_SI,hrv_PNS_index,hrv_SNS_index
Subject44,VectorLength_R,0,76.44400000000006,136.44400000000007,6,0.1,600,0.08686785536593858,0.07607567540673665,0.029727821035872428,0.032048898890179804,0.029234888359339784,0.09333333333333334,0.06198089560867171,1.0849419504318631,3.044064108422795,0.9108204444103936,0.2246669509066199,-6.48460808729449,8,5356.500000000001,11.201344161299355,11147.56552538971,6924.83908013134,8494.55146381659,4873.334382124828,158.58399073679809,90.97982604545558,1.2555833079059315,261.07981136655343,-1.5622507311844647
Subject44,VectorLength_R,1,136.44400000000007,196.44400000000007,8,0.13333333333333333,600,0.09850295288322805,0.10271804567391407,0.034830380450105294,0.039292570758610056,0.018186553123703812,0.0,0.03321837161162336,1.0064674036206294,2.4616721553718524,2.4655080419194966,1.4047951137538686,1.4761298797476343,21,3393.1428571428573,17.682721455035367,4956.637892765618,4307.189922509967,3532.9443691897363,4962.063496304069,104.12011866086289,146.23797774557295,1.5466871930038208,117.32516347713774,-0.06972858054100772
Subject44,VectorLength_R,2,196.44400000000007,256.4440000000001,10,0.16666666666666666,600,0.05408006492860338,0.05590452261306528,0.11258660173806327,0.11376199664454739,0.016311008234586314,0.0,0.06503779036826061,1.122487711207472,-1.2733510947649829,1.1825278887420851,0.034299054940215,-14.647178461225296,19,3356.9409048938146,17.87341561852662,3884.9612652978717,3208.8770478872602,2821.0004606696507,3554.678637769796,84.03485615600621,105.89041447192933,1.3755287008437076,92.7601697782503,-0.9885110409767318
Subject44,VectorLength_R,3,256.4440000000001,316.4440000000001,12,0.2,600,0.07632406338623814,0.07557788944723617,0.12367593661376187,0.12430790508293209,0.012518704757921644,0.0,0.036956069440992,1.0260444753556857,-3.205630124278593,1.0083607670218813,0.005737504832020339,-22.412769356240627,18,3396.7300103842203,17.66404742695847,4293.283605302729,3475.6668156590417,3118.958384938812,3799.0285889904544,91.82238139044827,111.84370195383082,1.9105034358166675,102.18200396504051,-0.7740322474912551
Subject44,VectorLength_R,4,316.4440000000001,376.4440000000001,14,0.23333333333333334,600,0.06897327976516247,0.06777563560376137,0.16436005356817088,0.16438329514356465,0.0027641478477607928,0.0,0.08413799418710889,1.0568477428431944,-5.497054967482002,2.439655567864377,0.008225646159353523,-20.84829976313726,15,3068.85910852713,19.551239688157736,3637.874350958867,3545.0346909044824,2664.1160748291823,4247.0021732122095,86.81128656009886,138.3902624076645,2.1471369489665766,86.7217153700384,-0.08176335428554626
Subject44,VectorLength_R,5,376.4440000000001,436.4440000000001,16,0.26666666666666666,600,0.08299987810338824,0.0874165381362258,0.18366678856327842,0.18441959398159025,0.016646243515778095,0.0,0.050661176058997615,1.0105155186761825,-5.024271715066275,0.8907363842395724,0.017392141695486286,-17.59646934978605,23,2614.7826086956516,22.946458264050555,2259.366282832422,2026.5336046048867,1626.9417835618965,2359.393425032414,62.220919557571705,90.2328712599693,2.0045944174398005,54.25946495640766,-1.0625107380701413
