subject_id,session_id,segment_id,t_start_seg_s,t_end_seg_s,bpm_target,freq_target_hz,n_points_ridge,freq_mean_hz,freq_median_hz,freq_mae_hz,freq_rmse_hz,freq_std_hz,coverage_within_tol,snr_main_over_band,snr_main_over_second,snr_median_db,snr_std_db,ridge_power_mean,ridge_power_db,hrv_n_rr,hrv_mean_rr_ms,hrv_mean_hr_bpm,hrv_rmssd_ms,hrv_sdnn_ms,hrv_SD1_ms,hrv_SD2_ms,hrv_sd1_pct,hrv_sd2_pct,hrv_SI,hrv_PNS_index,hrv_SNS_index
Subject47,RR_Intervals,0,1.564,61.564,6,0.1,600,0.14884604893278272,0.1543333954279259,0.04884604893278272,0.05390561259540203,0.022800845882154502,0.07166666666666667,0.023660076853792917,1.0091416620840588,2.632567604464989,1.916292728206211,1.2036082393692542,0.8048515206637129,63,960.4444444444443,62.47107820453495,450.6923705846654,312.91685888343665,321.2828332025057,304.3209855338999,33.451474997947145,31.685433477615682,2.306235224342226,9.43142283391179,-0.9958041118447821
Subject47,RR_Intervals,1,61.564,121.564,8,0.13333333333333333,600,0.13289242375242544,0.1296850589581571,0.01773121810924813,0.018885756773747427,0.018880609303161024,0.15166666666666667,0.027085568229253204,1.0161566350708136,1.6841637851554045,2.11924164269349,4.279200540241092,6.313626397159345,56,1062.6068895643361,56.46490775586795,866.2851094855572,609.7119049749303,618.2004001000474,601.1035513557194,58.177714277149725,56.568760965042216,2.527700858131236,19.718052663504785,-0.6061360214482575
Subject47,RR_Intervals,2,121.564,181.564,10,0.16666666666666666,600,0.09029810562714562,0.0910850042290661,0.07636856103952105,0.07663661747325881,0.006404219116765443,0.0,0.04257414223382864,1.0239333498484608,-3.3147112231205087,1.9019916138542434,3.3604608671507195,5.263988423706252,40,1079.1719592570403,55.598182926571965,661.9522962574882,520.8895529961687,474.18979181533115,563.733885959705,43.940151312103104,52.23763285582491,2.4726780471792806,14.739549314474374,-0.7404446088993897
Subject47,RR_Intervals,3,181.564,241.564,12,0.2,600,0.1332290424896761,0.13263931041345334,0.06677095751032391,0.06802648661791118,0.01300930877223566,0.0,0.02854485109945968,1.014903043473428,-3.3819211283120856,1.3997819660131856,0.6779063384527705,-1.6883030539926516,66,914.2305633453277,65.628958826808,288.05320006680665,234.1206989106209,205.26946866124075,259.7873140711977,22.452702511948875,28.41595156484279,2.8819060341105054,5.347895781539172,-0.867251443091476
Subject47,RR_Intervals,4,241.564,301.56399999999996,14,0.23333333333333334,600,0.0882382817553112,0.0858257873526046,0.14509505157802213,0.14910204443115105,0.03433432191146402,0.0,0.05182601597388816,1.07222893939201,-6.16327344142942,1.459531738437849,0.08450135828755873,-10.73136310074156,71,837.7464788732393,71.62071284465368,18.261591230930264,20.748644230997858,13.004538147212177,26.303886831165173,1.5523238205313796,3.1398385423885804,5.244902479495786,-1.5141172255766386,-0.8353849687647222
Subject47,RR_Intervals,5,301.564,361.564,16,0.26666666666666666,600,0.1078031456788895,0.10378936763023039,0.15886352098777715,0.16134375098828382,0.028181335708859306,0.0,0.03162371346251071,1.0126966250465594,-3.6007556845654647,1.2876242087933434,0.4171155429004415,-3.7974362681549305,66,867.6472341964461,69.15252839544608,300.3291554112291,213.25084299078713,214.01743973403657,212.4814805159516,24.66641179721439,24.489386024809615,2.858598859415418,5.590966589482119,-0.8409406652534583
