subject_id,session_id,segment_id,t_start_seg_s,t_end_seg_s,bpm_target,freq_target_hz,n_points_ridge,freq_mean_hz,freq_median_hz,freq_mae_hz,freq_rmse_hz,freq_std_hz,coverage_within_tol,snr_main_over_band,snr_main_over_second,snr_median_db,snr_std_db,ridge_power_mean,ridge_power_db,hrv_n_rr,hrv_mean_rr_ms,hrv_mean_hr_bpm,hrv_rmssd_ms,hrv_sdnn_ms,hrv_SD1_ms,hrv_SD2_ms,hrv_sd1_pct,hrv_sd2_pct,hrv_SI,hrv_PNS_index,hrv_SNS_index
Subject55,VectorLength_R,0,25.492000000000022,85.49200000000002,6,0.1,600,0.10035579879596,0.09962311557788954,0.0021105900791083976,0.003086599773192122,0.00306602436008964,0.9733333333333334,0.07467820203763043,1.0184506862938296,6.412631708096178,0.8766284546651153,0.029764914049243175,-15.262953671877867,70,851.4857142857143,70.4650694584256,63.23088586708356,98.39034105668374,44.96572531982436,131.6791630174007,5.280854929849851,15.464635613747483,3.0234342281138726,-0.35998356243489416,-0.970266744172446
Subject55,VectorLength_R,1,85.49200000000002,145.49200000000002,8,0.13333333333333333,600,0.12976585899796006,0.13022613065326635,0.004957365761701809,0.0063631413937028985,0.005269031719652905,0.88,0.0635759026216237,1.0108100057167444,8.07301217010873,1.2686212129519243,0.024234126322097163,-16.155726326318494,75,803.7850464135022,74.6468228884335,40.81070830821174,64.75541525309254,29.03857783587355,86.8521076685581,3.6127292944107388,10.80538983103669,3.8441968466319567,-1.0198154024182653,-0.7976199885905194
Subject55,VectorLength_R,2,145.49200000000002,205.49200000000002,10,0.16666666666666666,600,0.16302376859545245,0.1608291457286431,0.005948898093326956,0.006985605811275965,0.0059605353948514106,0.9083333333333333,0.05090096198844289,1.0086993183204571,7.712019908243761,1.7935990562638138,0.02389542680857314,-16.21685207897445,77,778.5974025974026,77.06164931945557,33.83551544255251,61.32146952531169,24.081382486397384,83.3110572915222,3.092918420490723,10.70014580238726,3.8626010917670466,-1.2481192592660255,-0.7163971562261452
Subject55,VectorLength_R,3,205.49200000000002,265.492,12,0.2,600,0.15579086646101795,0.19067466043086712,0.04420913353898206,0.06201692040051617,0.043493113566361416,0.5033333333333333,0.03229456714791877,1.0116615251852592,1.9042338391521085,1.7739535253798082,0.012772040845688813,-18.937397011987382,76,791.6842105263155,75.78779417630636,33.04945788763707,43.3762486548621,23.52490725297926,56.6531255402169,2.971501381509148,7.1560256964773385,4.410882201062209,-1.240552644165948,-0.7462370340243679
Subject55,VectorLength_R,4,265.492,325.492,14,0.23333333333333334,600,0.22510261953331015,0.2286578934275339,0.014707860811206706,0.02563883446938559,0.024281787069543755,0.6583333333333333,0.02430759885380454,1.0056624693476273,1.8654097864944985,1.0551827872939266,0.009452365101982201,-20.244595118441353,78,772.8205128205133,77.63769077637687,32.77946775793469,40.880485799635665,23.330546980721905,52.89720045530533,3.0188829868883675,6.844694153141695,4.510529573964974,-1.2868923662151432,-0.6748843972790155
Subject55,VectorLength_R,5,325.492,385.492,16,0.26666666666666666,600,0.26329553584755466,0.2601915518184986,0.008012481687867222,0.009097280886566098,0.00844961517049822,0.6533333333333333,0.029870248726841128,1.00384939550852,3.9711119236921038,1.1367690611544783,0.009131295180050743,-20.39467617855648,76,788.6315789473681,76.08115323011215,27.685856798488963,30.323079045619547,19.700459591288524,38.090289280941285,2.498056141447425,4.829921892270987,4.813532335995947,-1.3823089132134019,-0.7210412387242485
